"死亡人數","死亡人數","男","女","死亡人口性比例","粗死亡率"
"109年 10月/ 雲林縣",573,315,258,122.09,0.85
"109年 10月/ 嘉義縣",442,257,185,138.92,0.88
"109年 10月/ 屏東縣",681,417,264,157.95,0.84
"109年 10月/ 臺東縣",169,117,52,225.00,0.78
"109年 10月/ 花蓮縣",263,162,101,160.40,0.81
"109年 10月/ 澎湖縣",69,39,30,130.00,0.65
"109年 10月/ 基隆市",224,126,98,128.57,0.61
"109年 10月/ 新竹市",219,137,82,167.07,0.49
"109年 10月/ 嘉義市",148,91,57,159.65,0.56
"109年 10月/ 金門縣",56,27,29,93.10,0.40
"109年 10月/ 連江縣",5,3,2,150.00,0.38

