學校名稱,印尼外國學位生人數,寮國外國學位生人數,新加坡外國學位生人數,柬埔寨外國學位生人數,汶萊外國學位生人數,泰國外國學位生人數,緬甸外國學位生,菲律賓外國學位生,越南外國學位生,馬來西亞外國學位生,印尼僑生,寮國僑生,新加坡僑生,柬埔寨僑生,汶萊僑生,泰國僑生,緬甸僑生,菲律賓僑生,越南僑生,馬來西亞僑生,合計
中國科技大學,18,0,0,0,0,0,0,0,121,53,3,0,0,0,0,0,2,0,3,19,219
世新大學,2,0,9,0,0,3,0,0,9,71,6,0,1,0,0,1,2,0,2,107,213
國立彰化師範大學,17,0,1,0,0,1,0,0,15,20,16,0,0,0,0,1,0,1,3,132,207
中華科技大學,0,0,1,0,0,0,53,0,126,5,2,0,0,0,0,0,1,0,12,2,202
台北海洋科技大學,9,0,0,0,0,0,0,171,0,1,7,0,0,0,0,0,1,0,0,13,202
敏實科技大學,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,1,202
宏國德霖科技大學,0,0,0,0,0,0,0,0,167,1,5,0,0,0,0,0,1,0,1,24,199
建國科技大學,24,0,0,0,0,0,4,0,155,3,5,1,0,0,0,0,1,2,0,4,199
國立臺中科技大學,0,0,0,0,0,1,0,0,14,4,91,0,1,0,0,8,6,0,13,59,197
國立嘉義大學,18,0,0,0,0,5,0,2,9,12,26,0,1,0,0,1,1,0,4,109,188
亞洲大學,110,0,0,0,0,9,1,5,22,7,12,0,0,0,0,0,0,0,1,19,186
國立金門大學,9,0,0,0,0,1,0,0,4,1,136,0,0,0,0,2,0,0,0,30,183
國立高雄大學,5,0,0,0,0,0,0,1,10,1,112,0,0,0,0,1,3,0,12,37,182
國立臺北商業大學,4,0,0,0,0,0,0,0,29,0,34,0,0,0,0,3,29,2,31,40,172
長庚大學,27,0,4,0,0,13,1,0,57,6,8,0,2,0,0,1,3,1,2,42,167
文藻外語大學,48,0,0,0,0,6,1,9,75,5,5,0,0,0,0,3,1,0,3,4,160
國立臺中教育大學,0,0,0,0,0,8,0,1,50,3,54,0,0,0,0,4,0,0,3,30,153
慈濟大學,26,0,1,1,0,9,0,5,18,50,7,0,1,0,0,2,1,0,1,31,153
高雄醫學大學,18,0,0,0,0,1,3,6,3,7,8,0,4,0,0,1,6,0,1,81,139
慈濟科技大學,26,0,0,0,0,9,0,45,4,21,1,0,0,0,0,8,0,0,0,18,132
遠東科技大學,9,0,0,0,0,0,8,36,53,4,18,0,0,0,0,0,1,0,0,0,129
嶺東科技大學,18,0,0,0,0,4,0,0,33,47,4,0,0,0,0,2,0,0,0,20,128
亞東科技大學,0,0,0,0,0,0,0,0,57,0,13,0,0,0,0,0,0,3,44,2,119
佛光大學,0,0,1,0,0,1,2,2,38,14,9,0,0,0,0,0,2,0,0,46,115
國立臺北教育大學,3,0,1,0,0,6,0,2,28,11,7,0,0,0,0,1,18,0,3,35,115
明志科技大學,36,0,0,0,0,5,0,4,57,1,1,0,0,0,0,0,0,0,1,10,115
華夏科技大學,1,0,0,0,0,0,12,0,89,0,0,0,0,0,0,0,9,0,2,0,113
長榮大學,6,0,0,0,0,2,0,0,14,9,10,0,0,0,0,0,0,0,0,65,106
國立臺灣藝術大學,0,2,9,0,0,1,2,0,0,28,6,0,0,0,0,1,1,0,2,47,99
國立高雄師範大學,3,0,0,0,0,2,1,0,32,3,11,0,0,0,0,0,1,0,4,38,95
大葉大學,8,0,0,0,0,1,0,1,13,43,0,0,0,0,0,0,1,0,0,26,93
南華大學,9,0,0,11,0,0,0,5,29,5,2,0,0,0,0,0,0,0,1,27,89
國立臺南大學,4,0,0,0,0,1,0,0,10,5,22,0,0,0,0,0,2,0,1,43,88
中山醫學大學,3,0,0,0,0,0,0,1,2,4,11,0,2,0,0,0,1,1,1,59,85
臺北市立大學,3,0,1,0,0,2,0,1,7,5,4,0,0,0,0,2,9,0,4,47,85
玄奘大學,0,0,1,0,0,0,0,0,34,10,1,0,0,0,0,0,2,0,0,36,84
聖約翰科技大學,5,0,0,0,0,0,0,0,5,56,0,0,0,0,0,1,0,0,0,17,84
東吳大學,1,0,0,0,0,6,1,0,13,10,7,0,0,0,0,1,1,0,2,40,82
國防醫學院,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,16,1,1,54,81
國立屏東大學,10,0,0,0,0,14,0,1,9,0,4,0,0,0,0,0,0,0,0,42,80
國立虎尾科技大學,27,0,0,0,0,5,0,0,16,2,2,0,0,0,0,0,0,0,1,22,75
中臺科技大學,5,0,0,0,0,1,0,0,7,0,16,0,0,0,0,0,0,0,34,9,72
國立臺北藝術大學,1,0,3,0,0,3,0,2,1,25,0,0,0,0,0,0,0,0,0,27,62
國立臺北護理健康大學,23,0,0,0,0,2,0,0,3,1,0,0,0,0,0,1,5,0,1,23,59
大仁科技大學,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,1,1,0,24,22,59
國立臺灣體育運動大學,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,1,44,57
崇右影藝科技大學,2,0,0,0,0,0,6,0,40,0,0,0,0,0,0,0,0,0,0,3,51
明道大學,5,0,0,0,0,13,0,0,14,4,12,0,0,0,0,0,0,0,1,2,51
法鼓文理學院,1,0,0,0,0,2,0,0,31,9,0,0,0,0,0,0,0,0,0,2,45
